"playerID","awardID","yearID","lgID","tie","notes"
"barrema02","ALCS MVP","1986","AL","",""
"clemero02","All-Star Game MVP","1986","ML","",""
"knighra01","Babe Ruth Award","1986","NL","","3B"
"clemero02","Cy Young Award","1986","AL","",""
"scottmi03","Cy Young Award","1986","NL","",""
"mattido01","Gold Glove","1986","AL","","1B"
"whitefr01","Gold Glove","1986","AL","","2B"
"gaettga01","Gold Glove","1986","AL","","3B"
"boonebo01","Gold Glove","1986","AL","","C"
"barfije01","Gold Glove","1986","AL","","OF"
"pettiga01","Gold Glove","1986","AL","","OF"
"puckeki01","Gold Glove","1986","AL","","OF"
"guidrro01","Gold Glove","1986","AL","","P"
"fernato01","Gold Glove","1986","AL","","SS"
"hernake01","Gold Glove","1986","NL","","1B"
"sandbry01","Gold Glove","1986","NL","","2B"
"schmimi01","Gold Glove","1986","NL","","3B"
"davisjo02","Gold Glove","1986","NL","","C"
"gwynnto01","Gold Glove","1986","NL","","OF"
"mcgeewi01","Gold Glove","1986","NL","","OF"
"murphda05","Gold Glove","1986","NL","","OF"
"valenfe01","Gold Glove","1986","NL","","P"
"smithoz01","Gold Glove","1986","NL","","SS"
"leonade01","Hutch Award","1986","ML","",""
"brettge01","Lou Gehrig Memorial Award","1986","ML","",""
"clemero02","Most Valuable Player","1986","AL","",""
"schmimi01","Most Valuable Player","1986","NL","",""
"scottmi03","NLCS MVP","1986","NL","",""
"maddoga01","Roberto Clemente Award","1986","ML","",""
"righeda01","Rolaids Relief Man Award","1986","AL","",""
"worreto01","Rolaids Relief Man Award","1986","NL","",""
"cansejo01","Rookie of the Year","1986","AL","",""
"worreto01","Rookie of the Year","1986","NL","",""
"mattido01","Silver Slugger","1986","AL","","1B"
"whitefr01","Silver Slugger","1986","AL","","2B"
"boggswa01","Silver Slugger","1986","AL","","3B"
"parrila02","Silver Slugger","1986","AL","","C"
"baylodo01","Silver Slugger","1986","AL","","DH"
"barfije01","Silver Slugger","1986","AL","","OF"
"bellge02","Silver Slugger","1986","AL","","OF"
"puckeki01","Silver Slugger","1986","AL","","OF"
"ripkeca01","Silver Slugger","1986","AL","","SS"
"davisgl01","Silver Slugger","1986","NL","","1B"
"saxst01","Silver Slugger","1986","NL","","2B"
"schmimi01","Silver Slugger","1986","NL","","3B"
"cartega01","Silver Slugger","1986","NL","","C"
"gwynnto01","Silver Slugger","1986","NL","","OF"
"parkeda01","Silver Slugger","1986","NL","","OF"
"raineti01","Silver Slugger","1986","NL","","OF"
"rhoderi01","Silver Slugger","1986","NL","","P"
"brookhu01","Silver Slugger","1986","NL","","SS"
"mattido01","TSN All-Star","1986","AL","","1B"
"bernato01","TSN All-Star","1986","AL","","2B"
"boggswa01","TSN All-Star","1986","AL","","3B"
"gedmari01","TSN All-Star","1986","AL","","C"
"baylodo01","TSN All-Star","1986","AL","","DH"
"higuete01","TSN All-Star","1986","AL","","LHP"
"bellge02","TSN All-Star","1986","AL","","OF"
"puckeki01","TSN All-Star","1986","AL","","OF"
"riceji01","TSN All-Star","1986","AL","","OF"
"clemero02","TSN All-Star","1986","AL","","RHP"
"fernato01","TSN All-Star","1986","AL","","SS"
"hernake01","TSN All-Star","1986","NL","","1B"
"saxst01","TSN All-Star","1986","NL","","2B"
"schmimi01","TSN All-Star","1986","NL","","3B"
"cartega01","TSN All-Star","1986","NL","","C"
"valenfe01","TSN All-Star","1986","NL","","LHP"
"gwynnto01","TSN All-Star","1986","NL","","OF"
"parkeda01","TSN All-Star","1986","NL","","OF"
"raineti01","TSN All-Star","1986","NL","","OF"
"scottmi03","TSN All-Star","1986","NL","","RHP"
"smithoz01","TSN All-Star","1986","NL","","SS"
"righeda01","TSN Fireman of the Year","1986","AL","",""
"worreto01","TSN Fireman of the Year","1986","NL","",""
"clemero02","TSN Major League Player of the Year","1986","ML","",""
"clemero02","TSN Pitcher of the Year","1986","AL","",""
"scottmi03","TSN Pitcher of the Year","1986","NL","",""
"mattido01","TSN Player of the Year","1986","AL","",""
"schmimi01","TSN Player of the Year","1986","NL","",""
"knighra01","World Series MVP","1986","ML","",""
"gaettga01","ALCS MVP","1987","AL","",""
"raineti01","All-Star Game MVP","1987","ML","",""
"violafr01","Babe Ruth Award","1987","AL","","P"
"clemero02","Cy Young Award","1987","AL","",""
"bedrost01","Cy Young Award","1987","NL","",""
"mattido01","Gold Glove","1987","AL","","1B"
"whitefr01","Gold Glove","1987","AL","","2B"
"gaettga01","Gold Glove","1987","AL","","3B"
"boonebo01","Gold Glove","1987","AL","","C"
"barfije01","Gold Glove","1987","AL","","OF"
"puckeki01","Gold Glove","1987","AL","","OF"
"winfida01","Gold Glove","1987","AL","","OF"
"langsma01","Gold Glove","1987","AL","","P"
"fernato01","Gold Glove","1987","AL","","SS"
"hernake01","Gold Glove","1987","NL","","1B"
"sandbry01","Gold Glove","1987","NL","","2B"
"pendlte01","Gold Glove","1987","NL","","3B"
"lavalmi01","Gold Glove","1987","NL","","C"
"daviser01","Gold Glove","1987","NL","","OF"
"dawsoan01","Gold Glove","1987","NL","","OF"
"gwynnto01","Gold Glove","1987","NL","","OF"
"reuscri01","Gold Glove","1987","NL","","P"
"smithoz01","Gold Glove","1987","NL","","SS"
"molitpa01","Hutch Award","1987","ML","",""
"sutclri01","Lou Gehrig Memorial Award","1987","ML","",""
"bellge02","Most Valuable Player","1987","AL","",""
"dawsoan01","Most Valuable Player","1987","NL","",""
"leonaje01","NLCS MVP","1987","NL","",""
"sutclri01","Roberto Clemente Award","1987","ML","",""
"righeda01","Rolaids Relief Man Award","1987","AL","",""
"bedrost01","Rolaids Relief Man Award","1987","NL","",""
"mcgwima01","Rookie of the Year","1987","AL","",""
"santibe01","Rookie of the Year","1987","NL","",""
"mattido01","Silver Slugger","1987","AL","","1B"
"whitalo01","Silver Slugger","1987","AL","","2B"
"boggswa01","Silver Slugger","1987","AL","","3B"
"nokesma01","Silver Slugger","1987","AL","","C"
"molitpa01","Silver Slugger","1987","AL","","DH"
"bellge02","Silver Slugger","1987","AL","","OF"
"evansdw01","Silver Slugger","1987","AL","","OF"
"puckeki01","Silver Slugger","1987","AL","","OF"
"trammal01","Silver Slugger","1987","AL","","SS"
"clarkja01","Silver Slugger","1987","NL","","1B"
"samueju01","Silver Slugger","1987","NL","","2B"
"wallati01","Silver Slugger","1987","NL","","3B"
"santibe01","Silver Slugger","1987","NL","","C"
"daviser01","Silver Slugger","1987","NL","","OF"
"dawsoan01","Silver Slugger","1987","NL","","OF"
"gwynnto01","Silver Slugger","1987","NL","","OF"
"forscbo01","Silver Slugger","1987","NL","","P"
"smithoz01","Silver Slugger","1987","NL","","SS"
"mattido01","TSN All-Star","1987","AL","","1B"
"randowi01","TSN All-Star","1987","AL","","2B"
"boggswa01","TSN All-Star","1987","AL","","3B"
"nokesma01","TSN All-Star","1987","AL","","C"
"molitpa01","TSN All-Star","1987","AL","","DH"
"keyji01","TSN All-Star","1987","AL","","LHP"
"bellge02","TSN All-Star","1987","AL","","OF"
"evansdw01","TSN All-Star","1987","AL","","OF"
"puckeki01","TSN All-Star","1987","AL","","OF"
"clemero02","TSN All-Star","1987","AL","","RHP"
"trammal01","TSN All-Star","1987","AL","","SS"
"clarkja01","TSN All-Star","1987","NL","","1B"
"samueju01","TSN All-Star","1987","NL","","2B"
"wallati01","TSN All-Star","1987","NL","","3B"
"santibe01","TSN All-Star","1987","NL","","C"
"smithza01","TSN All-Star","1987","NL","","LHP"
"daviser01","TSN All-Star","1987","NL","","OF"
"dawsoan01","TSN All-Star","1987","NL","","OF"
"gwynnto01","TSN All-Star","1987","NL","","OF"
"sutclri01","TSN All-Star","1987","NL","","RHP"
"smithoz01","TSN All-Star","1987","NL","","SS"
"reardje01","TSN Fireman of the Year","1987","AL","Y",""
"righeda01","TSN Fireman of the Year","1987","AL","Y",""
"bedrost01","TSN Fireman of the Year","1987","NL","",""
"bellge02","TSN Major League Player of the Year","1987","ML","",""
"keyji01","TSN Pitcher of the Year","1987","AL","",""
"sutclri01","TSN Pitcher of the Year","1987","NL","",""
"bellge02","TSN Player of the Year","1987","AL","",""
"dawsoan01","TSN Player of the Year","1987","NL","",""
"violafr01","World Series MVP","1987","ML","",""
